Brand,Model,Derivative,Introduced,Discontinued,Package
VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDI Elegance 5dr DSG,2024-01-11,,
VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDI R-Line 5dr DSG,2024-01-11,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 eTSI 150 Life 5dr DSG,2024-01-11,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 eTSI 5dr DSG,2024-01-11,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 eTSI Life 5dr DSG,2024-01-11,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 eTSI 150 Elegance 5dr DSG,2024-01-11,,
VOLKSWAGEN,TIGUAN ESTATE,1.5 eTSI 150 R-Line 5dr DSG,2024-01-11,,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 115 Style 5dr,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 115 Style 5dr DSG,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.5 TSI Style 5dr DSG,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 115 R-Line 5dr,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 115 R-Line 5dr DSG,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.5 TSI R-Line 5dr DSG,2024-01-04,,
VOLKSWAGEN,ID.5 COUPE,210kW Tech Pro 77kWh 5dr Auto,2023-11-09,2023-11-10,
VOLKSWAGEN,ID.5 COUPE,250kW 4MOTION GTX Style 77kWh 5dr Auto,2023-11-09,2023-11-10,
VOLKSWAGEN,ID.4 ESTATE,210kW Life Pro 77kWh 5dr Auto,2023-11-09,,
VOLKSWAGEN,ID.4 ESTATE,210kW Style Pro 77kWh 5dr Auto,2023-11-09,,
VOLKSWAGEN,ID.4 ESTATE,250kW 4MOTION GTX 77kWh 5dr Auto,2023-11-09,,
VOLKSWAGEN,ID.5 COUPE,210kW Style Pro 77kWh 5dr Auto,2023-11-09,,
VOLKSWAGEN,ID.5 COUPE,250kW 4MOTION GTX 77kWh 5dr Auto,2023-11-09,2024-06-20,
VOLKSWAGEN,ARTEON DIESEL SHOOTING BRAKE,2.0 TDI 193 4MOTION R-Line 5dr DSG,2024-03-07,,
VOLKSWAGEN,TOUAREG DIESEL ESTATE,3.0 V6 TDI 4Motion Black Edition 5dr Tip Auto,2023-07-20,,
VOLKSWAGEN,TOUAREG DIESEL ESTATE,3.0 V6 TDI 4Motion 286 Black Edition 5dr Tip Aut,2023-07-20,,
VOLKSWAGEN,TOUAREG ESTATE,3.0 TSI eHybrid 4Motion Elegance 5dr Tip Auto,2023-07-20,,
VOLKSWAGEN,TOUAREG ESTATE,3.0 V6 TSI 4Motion Black Edition 5dr Tip Auto,2023-07-20,,
VOLKSWAGEN,TOUAREG ESTATE,3.0 V6 TSI eHybrid 4Motion R 5dr Tip Auto,2023-07-20,,
VOLKSWAGEN,POLO HATCHBACK SPECIAL EDITION,2.0 TSI GTI Edition 25 5dr DSG,2023-08-03,2024-03-05,
VOLKSWAGEN,TIGUAN ESTATE,1.4 TSI eHybrid Black Edition 5dr DSG,2023-07-13,2023-11-13,
VOLKSWAGEN,TIGUAN ESTATE,2.0 TSI 190 4Motion Black Edition 5dr DSG,2023-07-05,2023-11-13,
VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDI 150 4Motion Black Edition 5dr DSG,2023-07-05,2023-11-13,
VOLKSWAGEN,TIGUAN DIESEL ESTATE,2.0 TDI 200 4Motion Black Edition 5dr DSG,2023-07-05,2023-11-13,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 115 Life 5dr DSG,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI 115 Life 5dr,2024-01-04,,
VOLKSWAGEN,T-CROSS ESTATE,1.0 TSI Life 5dr,2024-01-04,,
VOLKSWAGEN,CADDY CALIFORNIA DIESEL ESTATE,2.0 TDI 122 5dr DSG,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA DIESEL ESTATE,2.0 TDI 5dr,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA ESTATE,1.5 TSI 5dr DSG,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA ESTATE,1.5 TSI 5dr,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA MAXI DIESEL ESTATE,2.0 TDI 5dr,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA MAXI DIESEL ESTATE,2.0 TDI 122 5dr DSG,2023-07-04,,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA MAXI ESTATE,1.5 TSI 5dr,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY CALIFORNIA MAXI ESTATE,1.5 TSI 5dr DSG,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY ESTATE,1.5 TSI Life 5dr DSG,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY ESTATE,1.5 TSI Life 5dr DSG,2023-07-04,2024-04-26,7 Seat/Tech Pack
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI Life 5dr,2023-07-04,,Tech Pack
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI Life 5dr,2023-07-04,,7 Seat/Tech Pack
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI 122 Life 5dr DSG,2023-07-04,,Tech Pack
VOLKSWAGEN,CADDY DIESEL ESTATE,2.0 TDI 122 Life 5dr DSG,2023-07-04,,7 Seat/Tech Pack
VOLKSWAGEN,CADDY MAXI ESTATE,1.5 TSI Life 5dr DSG,2023-07-04,2024-04-26,5 Seat/Tech Pack
VOLKSWAGEN,CADDY MAXI ESTATE,1.5 TSI Life 5dr DSG,2023-07-04,2024-04-26,Tech Pack
VOLKSWAGEN,CADDY MAXI DIESEL ESTATE,2.0 TDI Life 5dr,2023-07-04,,5 Seat/Tech Pack
VOLKSWAGEN,CADDY MAXI DIESEL ESTATE,2.0 TDI Life 5dr,2023-07-04,,Tech Pack
VOLKSWAGEN,CADDY MAXI DIESEL ESTATE,2.0 TDI 122 Life 5dr DSG,2023-07-04,,5 Seat/Tech Pack
VOLKSWAGEN,CADDY MAXI DIESEL ESTATE,2.0 TDI 122 Life 5dr DSG,2023-07-04,,Tech Pack
VOLKSWAGEN,GOLF HATCHBACK,1.5 TSI 150 Black Edition 5dr,2023-09-07,2024-03-13,
